Loop 	Time(sec) 	Checksum
 s000	     5.038	512066944.000000
 s111	     4.373	32000.410156
s1111	    15.214	16005.822266
 s112	    10.736	84644.898438
s1112	     8.078	32001.640625
 s113	    10.035	32000.640625
s1113	     4.998	32001.640625
 s114	     5.852	919.869873
 s115	    32.033	31745.953125
s1115	     8.687	0.065485
 s116	    66.966	32000.000000
 s118	     5.978	84488.515625
 s119	     9.186	86343.289062
s1119	     9.176	119107.445312
 s121	    11.420	32009.023438
 s122	     6.366	196490.187500
 s123	     6.424	32003.283203
 s124	     7.066	32001.640625
 s125	     6.381	131072.000000
 s126	     1.174	66949.914062
 s127	    10.784	32003.283203
 s128	     9.504	80000.000000
 s131	    18.643	32009.023438
 s132	    16.787	65538.562500
 s141	     6.269	32454472.000000
 s151	    30.502	32009.023438
 s152	    11.563	152207.562500
 s162	     4.994	32009.023438
 s171	     4.566	196500.265625
 s172	     6.502	196500.265625
