Loop 	Time(sec) 	Checksum
 s423	    14.265	2.736748
 s424	    14.962	822.364014
 s431	    37.260	1674287.625000
 s441	     8.037	196500.265625
 s451	     3.462	32007.896484
 s452	    17.714	32511.939453
 s453	    14.086	21.901442
 s471	     5.893	64004.925781
 s481	     6.183	196500.265625
 s491	     5.512	32001.640625
s4112	     4.673	1127128.875000
s4113	     5.287	32001.640625
s4114	     9.849	32000.000000
s4115	     6.347	1.038636
s4116	     5.096	0.753265
s4117	     5.321	32002.205078
s4121	     7.359	196500.265625
   va	    21.641	1.644725
  vag	     6.247	1.644725
  vas	     6.149	1.644725
  vif	     3.728	1.644725
  vpv	    33.743	1642244.625000
  vtv	    33.758	32000.000000
vpvtv	    18.581	689788.562500
vpvts	     3.556	175234766340096.000000
vpvpv	    18.637	1.644725
vtvtv	    18.524	32000.000000
vsumr	    63.480	10.950721
vdotr	    63.496	1.644725
 vbor	     3.045	31924.046875
