Loop 	Time(sec) 	Checksum
 s423	    18.344	2.736748
 s424	    16.780	822.364014
 s431	    39.488	1674287.625000
 s441	     7.687	196500.265625
 s451	     3.435	32007.896484
 s452	    18.491	32511.939453
 s453	    14.115	21.901442
 s471	     5.407	64004.925781
 s481	     6.231	196500.265625
 s491	     5.735	32001.640625
s4112	     4.969	1127128.875000
s4113	     5.729	32001.640625
s4114	     9.697	32000.000000
s4115	     6.350	1.038636
s4116	     5.169	0.753265
s4117	     5.625	32002.205078
s4121	     7.882	196500.265625
   va	    31.713	1.644725
  vag	     7.179	1.644725
  vas	     7.127	1.644725
  vif	     4.016	1.644725
  vpv	    39.753	1642244.625000
  vtv	    39.726	32000.000000
vpvtv	    20.907	689788.562500
vpvts	     3.846	175234766340096.000000
vpvpv	    20.922	1.644725
vtvtv	    20.811	32000.000000
vsumr	    63.437	10.950721
vdotr	    63.514	1.644725
 vbor	     3.133	31924.046875
