Loop 	Time(sec) 	Checksum
 s256	     1.125	130176.000000
 s257	     1.169	163072.000000
 s258	     0.083	14.652780
 s261	     8.753	261013.984375
 s271	    24.808	689788.562500
 s272	     1.835	64000.000000
 s273	    11.836	99055.859375
 s274	    11.304	3201031680.000000
 s275	     1.263	65536.000000
s2275	    12.578	65536.000000
 s276	    21.015	689788.562500
s1279	     1.679	689810.437500
s2710	     6.613	96003.281250
s2711	    26.887	689788.562500
s2712	    28.209	289747.562500
 s281	     6.615	32000.000000
s1281	    36.612	inf
 s291	     8.214	32000.000000
 s292	     5.521	31953.501953
 s293	     5.306	32000.000000
s2101	     0.796	1704092.000000
s2102	     6.507	256.000000
s2111	    18.220	34544940.000000
 s311	    63.438	10.950721
s31111	     9.193	10.950721
 s312	    63.433	1.030518
 s313	    31.770	1.644725
 s314	     8.347	1.000000
 s315	     1.916	54857.000000
 s316	    14.614	0.000031
