Loop 	Time(sec) 	Checksum
 s423	    14.306	2.736748
 s424	    14.974	822.364014
 s431	    37.311	1674287.625000
 s441	     8.249	196500.265625
 s451	     3.470	32007.896484
 s452	    17.750	32511.939453
 s453	    14.104	21.901442
 s471	     6.087	64004.925781
 s481	     6.189	196500.265625
 s491	     5.526	32001.640625
s4112	     4.590	1127128.875000
s4113	     5.198	32001.640625
s4114	     9.806	32000.000000
s4115	     6.352	1.038636
s4116	     5.088	0.753265
s4117	     5.325	32002.205078
s4121	     7.366	196500.265625
   va	    21.613	1.644725
  vag	     6.252	1.644725
  vas	     6.176	1.644725
  vif	     3.726	1.644725
  vpv	    33.744	1642244.625000
  vtv	    33.739	32000.000000
vpvtv	    18.585	689788.562500
vpvts	     3.555	175234766340096.000000
vpvpv	    18.615	1.644725
vtvtv	    18.553	32000.000000
vsumr	    63.424	10.950721
vdotr	    63.532	1.644725
 vbor	     3.043	31924.046875
