Loop 	Time(sec) 	Checksum
 s423	    14.256	2.736748
 s424	    14.932	822.364014
 s431	    37.299	1674287.625000
 s441	     8.575	196500.265625
 s451	     3.477	32007.896484
 s452	    17.747	32511.939453
 s453	    14.106	21.901442
 s471	     6.352	64004.925781
 s481	     6.282	196500.265625
 s491	     5.583	32001.640625
s4112	     4.710	1127128.875000
s4113	     5.291	32001.640625
s4114	     9.724	32000.000000
s4115	     6.355	1.038636
s4116	     5.101	0.753265
s4117	     5.308	32002.205078
s4121	     7.354	196500.265625
   va	    21.563	1.644725
  vag	     6.247	1.644725
  vas	     6.145	1.644725
  vif	     3.725	1.644725
  vpv	    33.709	1642244.625000
  vtv	    33.708	32000.000000
vpvtv	    18.538	689788.562500
vpvts	     3.549	175234766340096.000000
vpvpv	    18.491	1.644725
vtvtv	    18.483	32000.000000
vsumr	    63.432	10.950721
vdotr	    63.507	1.644725
 vbor	     3.047	31924.046875
