Loop 	Time(sec) 	Checksum
 s173	    18.661	32001.626953
 s174	    18.661	32001.626953
 s175	     6.392	32009.023438
 s176	     4.948	32063.902344
 s211	    11.046	63983.308594
 s212	     9.265	132018.859375
s1213	     8.295	132016.171875
 s221	     5.454	1543684096.000000
s1221	     3.385	630439296.000000
 s222	     7.244	32000.000000
 s231	     8.833	119107.445312
 s232	     3.725	65536.000000
s1232	     5.389	33956.261719
 s233	    18.967	504920.187500
s2233	    13.865	337652.718750
 s235	    19.053	160024.046875
 s241	    22.174	64000.000000
 s242	     3.526	1535966208.000000
 s243	    17.024	810659.437500
 s244	    14.910	70110.828125
s1244	    13.955	108527.601562
s2244	     7.748	70110.859375
 s251	    21.033	32004.367188
s1251	    35.906	400005.843750
s2251	     9.426	2.635389
s3251	    11.639	12.595580
 s252	     4.753	63999.000000
 s253	    11.255	3200845824.000000
 s254	    15.645	32000.000000
 s255	     4.608	31953.501953
