Loop 	Time(sec) 	Checksum
 s256	     1.198	130176.000000
 s257	     1.280	163072.000000
 s258	     0.091	14.652780
 s261	     8.630	261013.984375
 s271	    24.732	689788.562500
 s272	     1.804	64000.000000
 s273	    11.809	99055.859375
 s274	    11.678	3201031680.000000
 s275	     1.501	65536.000000
s2275	    15.089	65536.000000
 s276	    21.313	689788.562500
s1279	     1.632	689810.437500
s2710	     7.270	96003.281250
s2711	    26.921	689788.562500
s2712	    28.257	289747.562500
 s281	     6.590	32000.000000
s1281	    36.578	inf
 s291	     8.260	32000.000000
 s292	     5.496	31953.501953
 s293	     5.128	32000.000000
s2101	     0.803	1704092.000000
s2102	     6.305	256.000000
s2111	    18.173	34544940.000000
 s311	    63.402	10.950721
s31111	     9.194	10.950721
 s312	    63.453	1.030518
 s313	    31.768	1.644725
 s314	     8.161	1.000000
 s315	     1.885	54857.000000
 s316	    14.426	0.000031
