Loop 	Time(sec) 	Checksum
 s256	     1.171	130176.000000
 s257	     1.226	163072.000000
 s258	     0.094	14.652780
 s261	     9.163	261013.984375
 s271	    24.799	689788.562500
 s272	     1.800	64000.000000
 s273	    11.939	99055.859375
 s274	    12.170	3201031680.000000
 s275	     1.352	65536.000000
s2275	    13.562	65536.000000
 s276	    22.423	689788.562500
s1279	     1.625	689810.437500
s2710	     7.490	96003.281250
s2711	    26.964	689788.562500
s2712	    28.276	289747.562500
 s281	     6.595	32000.000000
s1281	    40.558	inf
 s291	     8.260	32000.000000
 s292	     5.515	31953.501953
 s293	     5.181	32000.000000
s2101	     0.812	1704092.000000
s2102	     6.238	256.000000
s2111	    18.205	34544940.000000
 s311	    63.435	10.950721
s31111	     9.311	10.950721
 s312	    63.451	1.030518
 s313	    31.770	1.644725
 s314	     8.118	1.000000
 s315	     1.879	54857.000000
 s316	    14.389	0.000031
