Loop 	Time(sec) 	Checksum
 s000	     5.024	512066944.000000
 s111	     4.290	32000.410156
s1111	    14.494	16005.822266
 s112	    10.784	84644.898438
s1112	     8.119	32001.640625
 s113	    10.101	32000.640625
s1113	     5.014	32001.640625
 s114	     5.639	919.869873
 s115	    29.087	31745.953125
s1115	     8.779	0.065485
 s116	    65.317	32000.000000
 s118	     6.012	84488.515625
 s119	     9.199	86343.289062
s1119	     9.117	119107.445312
 s121	    11.460	32009.023438
 s122	     6.356	196490.187500
 s123	     6.188	32003.283203
 s124	     6.538	32001.640625
 s125	     5.577	131072.000000
 s126	     1.173	66949.914062
 s127	    10.292	32003.283203
 s128	     9.269	80000.000000
 s131	    18.638	32009.023438
 s132	    16.592	65538.562500
 s141	     6.114	32454472.000000
 s151	    30.553	32009.023438
 s152	    11.533	152207.562500
 s162	     4.958	32009.023438
 s171	     4.645	196500.265625
 s172	     6.512	196500.265625
