Loop 	Time(sec) 	Checksum
 s000	     5.027	512066944.000000
 s111	     4.288	32000.410156
s1111	    15.032	16005.822266
 s112	    10.785	84644.898438
s1112	     8.140	32001.640625
 s113	    10.104	32000.640625
s1113	     5.013	32001.640625
 s114	     6.016	919.869873
 s115	    29.661	31745.953125
s1115	     8.626	0.065485
 s116	    67.069	32000.000000
 s118	     6.185	84488.515625
 s119	     9.275	86343.289062
s1119	     9.200	119107.445312
 s121	    11.465	32009.023438
 s122	     6.370	196490.187500
 s123	     6.328	32003.283203
 s124	     6.539	32001.640625
 s125	     5.585	131072.000000
 s126	     1.158	66949.914062
 s127	    10.489	32003.283203
 s128	     9.319	80000.000000
 s131	    18.666	32009.023438
 s132	    16.772	65538.562500
 s141	     6.594	32454472.000000
 s151	    30.599	32009.023438
 s152	    11.519	152207.562500
 s162	     4.962	32009.023438
 s171	     4.597	196500.265625
 s172	     6.499	196500.265625
