Loop 	Time(sec) 	Checksum
 s317	   124.028	0.000000
 s319	    25.721	43.803417
s3110	     1.987	514.000000
s13110	     1.990	514.000000
s3111	     3.175	10.950721
s3112	     6.408	1.644725
s3113	     7.996	2.000000
 s321	     9.166	32000.000000
 s322	     5.993	32000.000000
 s323	     6.382	146472.437500
 s331	     1.665	32000.000000
 s341	     4.127	10.950721
 s342	     4.584	10.950721
 s343	     0.806	1567.932129
 s351	    51.567	25606707200.000000
s1351	    39.541	32008.869141
 s352	    36.492	1.644725
 s353	     7.655	3200838400.000000
 s421	    15.710	32009.023438
s1421	    14.278	16000.000000
 s422	    28.606	257.660736
