Loop 	Time(sec) 	Checksum
 s000	     5.158	512066944.000000
 s111	     4.342	32000.410156
s1111	    14.580	16005.822266
 s112	    10.862	84644.898438
s1112	     8.435	32001.640625
 s113	    10.474	32000.640625
s1113	     5.117	32001.640625
 s114	     5.796	919.869873
 s115	    29.290	31745.953125
s1115	     8.774	0.065485
 s116	    65.558	32000.000000
 s118	     6.780	84488.515625
 s119	     9.197	86343.289062
s1119	     9.154	119107.445312
 s121	    11.549	32009.023438
 s122	     6.380	196490.187500
 s123	     5.578	32003.283203
 s124	     6.561	32001.640625
 s125	     5.624	131072.000000
 s126	     1.164	66949.914062
 s127	     9.613	32003.283203
 s128	     9.104	80000.000000
 s131	    18.729	32009.023438
 s132	    16.821	65538.562500
 s141	     6.425	32454472.000000
 s151	    30.621	32009.023438
 s152	    11.593	152207.562500
 s162	     4.967	32009.023438
 s171	     4.910	196500.265625
 s172	     6.507	196500.265625
