Loop 	Time(sec) 	Checksum
 s173	    18.686	32001.626953
 s174	    18.671	32001.626953
 s175	     6.380	32009.023438
 s176	     4.955	32063.902344
 s211	     9.827	63983.308594
 s212	     7.930	132018.859375
s1213	     7.290	132016.171875
 s221	     4.869	1543684096.000000
s1221	     3.406	630439296.000000
 s222	     6.803	32000.000000
 s231	     8.952	119107.445312
 s232	     3.718	65536.000000
s1232	     5.502	33956.261719
 s233	    19.542	504920.187500
s2233	    13.809	337652.718750
 s235	    19.438	160024.046875
 s241	    19.495	64000.000000
 s242	     3.521	1535966208.000000
 s243	    16.787	810659.437500
 s244	    13.391	70110.828125
s1244	    12.998	108527.601562
s2244	     6.711	70110.859375
 s251	    20.936	32004.367188
s1251	    32.402	400005.843750
s2251	     8.340	2.635389
s3251	    10.032	12.595580
 s252	     4.819	63999.000000
 s253	     9.858	3200845824.000000
 s254	    15.674	32000.000000
 s255	     4.683	31953.501953
