Loop 	Time(sec) 	Checksum
 s000	     5.000	512066944.000000
 s111	     4.389	32000.410156
s1111	    15.300	16005.822266
 s112	    10.728	84644.898438
s1112	     8.064	32001.640625
 s113	    10.015	32000.640625
s1113	     4.987	32001.640625
 s114	     6.213	919.869873
 s115	    31.998	31745.953125
s1115	     8.527	0.065485
 s116	    68.359	32000.000000
 s118	     6.200	84488.515625
 s119	     9.282	86343.289062
s1119	     9.241	119107.445312
 s121	    11.310	32009.023438
 s122	     6.354	196490.187500
 s123	     6.431	32003.283203
 s124	     7.270	32001.640625
 s125	     6.104	131072.000000
 s126	     1.118	66949.914062
 s127	    10.786	32003.283203
 s128	     9.436	80000.000000
 s131	    18.601	32009.023438
 s132	    17.973	65538.562500
 s141	     6.454	32454472.000000
 s151	    30.483	32009.023438
 s152	    11.535	152207.562500
 s162	     4.998	32009.023438
 s171	     4.557	196500.265625
 s172	     6.505	196500.265625
