Loop 	Time(sec) 	Checksum
 s256	     1.119	130176.000000
 s257	     1.174	163072.000000
 s258	     0.084	14.652780
 s261	     8.758	261013.984375
 s271	    24.815	689788.562500
 s272	     1.855	64000.000000
 s273	    12.067	99055.859375
 s274	    10.600	3201031680.000000
 s275	     1.263	65536.000000
s2275	    12.572	65536.000000
 s276	    20.969	689788.562500
s1279	     1.742	689810.437500
s2710	     6.349	96003.281250
s2711	    26.867	689788.562500
s2712	    28.178	289747.562500
 s281	     6.616	32000.000000
s1281	    36.535	inf
 s291	     8.215	32000.000000
 s292	     5.517	31953.501953
 s293	     5.327	32000.000000
s2101	     0.790	1704092.000000
s2102	     6.629	256.000000
s2111	    18.202	34544940.000000
 s311	    63.409	10.950721
s31111	     9.166	10.950721
 s312	    63.395	1.030518
 s313	    31.716	1.644725
 s314	     8.458	1.000000
 s315	     1.941	54857.000000
 s316	    14.745	0.000031
