Loop 	Time(sec) 	Checksum
 s173	    22.347	32001.626953
 s174	    22.380	32001.626953
 s175	     6.376	32009.023438
 s176	     5.416	32063.902344
 s211	     9.913	63983.308594
 s212	     7.905	132018.859375
s1213	     7.310	132016.171875
 s221	     5.018	1543684096.000000
s1221	     3.934	630439296.000000
 s222	     6.721	32000.000000
 s231	     8.814	119107.445312
 s232	     3.778	65536.000000
s1232	     5.762	33956.261719
 s233	    19.135	504920.187500
s2233	    13.845	337652.718750
 s235	    19.589	160024.046875
 s241	    18.965	64000.000000
 s242	     3.519	1535966208.000000
 s243	    13.956	810659.437500
 s244	    12.644	70110.828125
s1244	    12.014	108527.601562
s2244	     6.812	70110.859375
 s251	    22.313	32004.367188
s1251	    31.857	400005.843750
s2251	     8.216	2.635389
s3251	     9.841	12.595580
 s252	     5.786	63999.000000
 s253	     9.692	3200845824.000000
 s254	    17.527	32000.000000
 s255	     5.545	31953.501953
