Loop 	Time(sec) 	Checksum
 s423	    14.259	2.736748
 s424	    14.962	822.364014
 s431	    37.292	1674287.625000
 s441	     7.853	196500.265625
 s451	     3.455	32007.896484
 s452	    17.738	32511.939453
 s453	    14.100	21.901442
 s471	     5.729	64004.925781
 s481	     6.196	196500.265625
 s491	     5.510	32001.640625
s4112	     4.584	1127128.875000
s4113	     5.198	32001.640625
s4114	     8.938	32000.000000
s4115	     6.348	1.038636
s4116	     5.080	0.753265
s4117	     5.321	32002.205078
s4121	     7.369	196500.265625
   va	    21.604	1.644725
  vag	     6.176	1.644725
  vas	     6.174	1.644725
  vif	     3.738	1.644725
  vpv	    33.751	1642244.625000
  vtv	    33.770	32000.000000
vpvtv	    18.610	689788.562500
vpvts	     3.561	175234766340096.000000
vpvpv	    18.559	1.644725
vtvtv	    18.502	32000.000000
vsumr	    63.463	10.950721
vdotr	    63.551	1.644725
 vbor	     3.051	31924.046875
