Loop 	Time(sec) 	Checksum
 s256	     1.180	130176.000000
 s257	     1.274	163072.000000
 s258	     0.083	14.652780
 s261	     8.697	261013.984375
 s271	    24.796	689788.562500
 s272	     1.936	64000.000000
 s273	    12.138	99055.859375
 s274	    10.479	3201031680.000000
 s275	     1.508	65536.000000
s2275	    15.067	65536.000000
 s276	    21.167	689788.562500
s1279	     1.883	689810.437500
s2710	     6.269	96003.281250
s2711	    26.940	689788.562500
s2712	    28.176	289747.562500
 s281	     6.651	32000.000000
s1281	    36.737	inf
 s291	     8.444	32000.000000
 s292	     5.632	31953.501953
 s293	     5.686	32000.000000
s2101	     0.832	1704092.000000
s2102	     7.804	256.000000
s2111	    18.221	34544940.000000
 s311	    63.423	10.950721
s31111	     9.430	10.950721
 s312	    63.424	1.030518
 s313	    31.737	1.644725
 s314	     8.980	1.000000
 s315	     2.034	54857.000000
 s316	    15.185	0.000031
