Loop 	Time(sec) 	Checksum
 s256	     1.115	130176.000000
 s257	     1.160	163072.000000
 s258	     0.083	14.652780
 s261	     8.770	261013.984375
 s271	    24.827	689788.562500
 s272	     1.845	64000.000000
 s273	    11.897	99055.859375
 s274	    10.953	3201031680.000000
 s275	     1.261	65536.000000
s2275	    12.532	65536.000000
 s276	    20.985	689788.562500
s1279	     1.698	689810.437500
s2710	     6.419	96003.281250
s2711	    26.911	689788.562500
s2712	    28.204	289747.562500
 s281	     6.606	32000.000000
s1281	    36.610	inf
 s291	     8.319	32000.000000
 s292	     5.527	31953.501953
 s293	     5.389	32000.000000
s2101	     0.783	1704092.000000
s2102	     6.138	256.000000
s2111	    18.184	34544940.000000
 s311	    63.423	10.950721
s31111	     9.163	10.950721
 s312	    63.414	1.030518
 s313	    31.742	1.644725
 s314	     8.409	1.000000
 s315	     1.933	54857.000000
 s316	    14.676	0.000031
