Loop 	Time(sec) 	Checksum
 s256	     1.149	130176.000000
 s257	     1.211	163072.000000
 s258	     0.085	14.652780
 s261	     8.701	261013.984375
 s271	    24.756	689788.562500
 s272	     1.820	64000.000000
 s273	    11.687	99055.859375
 s274	    11.407	3201031680.000000
 s275	     1.349	65536.000000
s2275	    13.479	65536.000000
 s276	    20.926	689788.562500
s1279	     1.646	689810.437500
s2710	     6.910	96003.281250
s2711	    26.853	689788.562500
s2712	    28.219	289747.562500
 s281	     6.594	32000.000000
s1281	    36.515	inf
 s291	     8.298	32000.000000
 s292	     5.509	31953.501953
 s293	     5.191	32000.000000
s2101	     0.808	1704092.000000
s2102	     6.205	256.000000
s2111	    18.206	34544940.000000
 s311	    63.466	10.950721
s31111	     9.153	10.950721
 s312	    63.453	1.030518
 s313	    31.762	1.644725
 s314	     8.213	1.000000
 s315	     1.894	54857.000000
 s316	    14.495	0.000031
