Loop 	Time(sec) 	Checksum
 s423	    14.693	2.736748
 s424	    15.202	822.364014
 s431	    37.899	1674287.625000
 s441	     7.716	196500.265625
 s451	     3.307	32007.896484
 s452	    17.946	32511.939453
 s453	    14.119	21.901442
 s471	     5.363	64004.925781
 s481	     6.191	196500.265625
 s491	     5.524	32001.640625
s4112	     4.687	1127128.875000
s4113	     5.295	32001.640625
s4114	     8.991	32000.000000
s4115	     6.357	1.038636
s4116	     5.079	0.753265
s4117	     5.367	32002.205078
s4121	     7.510	196500.265625
   va	    22.805	1.644725
  vag	     6.394	1.644725
  vas	     6.342	1.644725
  vif	     3.789	1.644725
  vpv	    34.483	1642244.625000
  vtv	    34.487	32000.000000
vpvtv	    18.524	689788.562500
vpvts	     3.645	175234766340096.000000
vpvpv	    18.526	1.644725
vtvtv	    18.513	32000.000000
vsumr	    63.429	10.950721
vdotr	    63.502	1.644725
 vbor	     3.058	31924.046875
