Loop 	Time(sec) 	Checksum
 s423	    14.303	2.736748
 s424	    14.997	822.364014
 s431	    37.301	1674287.625000
 s441	     8.510	196500.265625
 s451	     3.468	32007.896484
 s452	    17.777	32511.939453
 s453	    14.113	21.901442
 s471	     6.157	64004.925781
 s481	     6.217	196500.265625
 s491	     5.559	32001.640625
s4112	     4.689	1127128.875000
s4113	     5.290	32001.640625
s4114	     9.969	32000.000000
s4115	     6.359	1.038636
s4116	     5.103	0.753265
s4117	     5.317	32002.205078
s4121	     7.362	196500.265625
   va	    21.578	1.644725
  vag	     6.243	1.644725
  vas	     6.141	1.644725
  vif	     3.728	1.644725
  vpv	    33.725	1642244.625000
  vtv	    33.739	32000.000000
vpvtv	    18.571	689788.562500
vpvts	     3.547	175234766340096.000000
vpvpv	    18.545	1.644725
vtvtv	    18.512	32000.000000
vsumr	    63.428	10.950721
vdotr	    63.553	1.644725
 vbor	     3.042	31924.046875
