Loop 	Time(sec) 	Checksum
 s423	    14.615	2.736748
 s424	    15.488	822.364014
 s431	    38.778	1674287.625000
 s441	     8.128	196500.265625
 s451	     3.555	32007.896484
 s452	    18.692	32511.939453
 s453	    14.807	21.901442
 s471	     5.677	64004.925781
 s481	     6.612	196500.265625
 s491	     5.960	32001.640625
s4112	     4.779	1127128.875000
s4113	     5.418	32001.640625
s4114	     9.196	32000.000000
s4115	     6.607	1.038636
s4116	     5.378	0.753265
s4117	     5.499	32002.205078
s4121	     7.706	196500.265625
   va	    22.628	1.644725
  vag	     6.651	1.644725
  vas	     6.611	1.644725
  vif	     3.901	1.644725
  vpv	    36.363	1642244.625000
  vtv	    34.659	32000.000000
vpvtv	    18.944	689788.562500
vpvts	     3.622	175234766340096.000000
vpvpv	    18.873	1.644725
vtvtv	    18.964	32000.000000
vsumr	    64.933	10.950721
vdotr	    63.612	1.644725
 vbor	     3.052	31924.046875
