Loop 	Time(sec) 	Checksum
 s423	    14.289	2.736748
 s424	    15.019	822.364014
 s431	    37.280	1674287.625000
 s441	     8.508	196500.265625
 s451	     3.468	32007.896484
 s452	    17.781	32511.939453
 s453	    14.101	21.901442
 s471	     6.161	64004.925781
 s481	     6.230	196500.265625
 s491	     5.585	32001.640625
s4112	     4.705	1127128.875000
s4113	     5.322	32001.640625
s4114	     9.992	32000.000000
s4115	     6.347	1.038636
s4116	     5.089	0.753265
s4117	     5.325	32002.205078
s4121	     7.367	196500.265625
   va	    21.633	1.644725
  vag	     6.274	1.644725
  vas	     6.173	1.644725
  vif	     3.721	1.644725
  vpv	    33.688	1642244.625000
  vtv	    33.731	32000.000000
vpvtv	    18.605	689788.562500
vpvts	     3.552	175234766340096.000000
vpvpv	    18.569	1.644725
vtvtv	    18.550	32000.000000
vsumr	    63.387	10.950721
vdotr	    63.500	1.644725
 vbor	     3.041	31924.046875
