Loop 	Time(sec) 	Checksum
 s256	     1.196	130176.000000
 s257	     1.259	163072.000000
 s258	     0.096	14.652780
 s261	     9.301	261013.984375
 s271	    27.213	689788.562500
 s272	     1.789	64000.000000
 s273	    12.749	99055.859375
 s274	    12.490	3201031680.000000
 s275	     1.496	65536.000000
s2275	    14.996	65536.000000
 s276	    24.999	689788.562500
s1279	     1.616	689810.437500
s2710	     7.609	96003.281250
s2711	    30.087	689788.562500
s2712	    32.810	289747.562500
 s281	     7.298	32000.000000
s1281	    40.292	inf
 s291	     8.165	32000.000000
 s292	     5.496	31953.501953
 s293	     5.079	32000.000000
s2101	     0.847	1704092.000000
s2102	     5.979	256.000000
s2111	    18.211	34544940.000000
 s311	    63.403	10.950721
s31111	     9.315	10.950721
 s312	    63.408	1.030518
 s313	    31.760	1.644725
 s314	     8.082	1.000000
 s315	     1.871	54857.000000
 s316	    14.321	0.000031
