Loop 	Time(sec) 	Checksum
 s256	     1.108	130176.000000
 s257	     1.179	163072.000000
 s258	     0.097	14.652780
 s261	     9.776	261013.984375
 s271	    27.546	689788.562500
 s272	     1.790	64000.000000
 s273	    12.525	99055.859375
 s274	    12.444	3201031680.000000
 s275	     1.255	65536.000000
s2275	    12.558	65536.000000
 s276	    24.167	689788.562500
s1279	     1.614	689810.437500
s2710	     7.606	96003.281250
s2711	    30.132	689788.562500
s2712	    31.899	289747.562500
 s281	     7.057	32000.000000
s1281	    41.144	inf
 s291	     8.219	32000.000000
 s292	     5.493	31953.501953
 s293	     5.097	32000.000000
s2101	     0.836	1704092.000000
s2102	     6.217	256.000000
s2111	    18.197	34544940.000000
 s311	    63.318	10.950721
s31111	     9.266	10.950721
 s312	    63.337	1.030518
 s313	    31.669	1.644725
 s314	     8.086	1.000000
 s315	     1.867	54857.000000
 s316	    14.321	0.000031
