Loop 	Time(sec) 	Checksum
 s256	     1.139	130176.000000
 s257	     1.206	163072.000000
 s258	     0.085	14.652780
 s261	     8.692	261013.984375
 s271	    24.760	689788.562500
 s272	     1.820	64000.000000
 s273	    11.694	99055.859375
 s274	    11.402	3201031680.000000
 s275	     1.345	65536.000000
s2275	    13.416	65536.000000
 s276	    20.927	689788.562500
s1279	     1.645	689810.437500
s2710	     6.905	96003.281250
s2711	    26.838	689788.562500
s2712	    28.220	289747.562500
 s281	     6.593	32000.000000
s1281	    36.508	inf
 s291	     8.304	32000.000000
 s292	     5.517	31953.501953
 s293	     5.208	32000.000000
s2101	     0.789	1704092.000000
s2102	     5.970	256.000000
s2111	    18.202	34544940.000000
 s311	    63.411	10.950721
s31111	     9.213	10.950721
 s312	    63.425	1.030518
 s313	    31.744	1.644725
 s314	     8.220	1.000000
 s315	     1.899	54857.000000
 s316	    14.510	0.000031
