Loop 	Time(sec) 	Checksum
 s423	    14.361	2.736748
 s424	    14.963	822.364014
 s431	    37.262	1674287.625000
 s441	     8.748	196500.265625
 s451	     3.481	32007.896484
 s452	    17.803	32511.939453
 s453	    14.126	21.901442
 s471	     6.419	64004.925781
 s481	     6.347	196500.265625
 s491	     5.590	32001.640625
s4112	     4.629	1127128.875000
s4113	     5.172	32001.640625
s4114	    10.009	32000.000000
s4115	     6.369	1.038636
s4116	     5.107	0.753265
s4117	     5.316	32002.205078
s4121	     7.383	196500.265625
   va	    21.533	1.644725
  vag	     6.250	1.644725
  vas	     6.109	1.644725
  vif	     3.721	1.644725
  vpv	    33.696	1642244.625000
  vtv	    33.701	32000.000000
vpvtv	    18.676	689788.562500
vpvts	     3.545	175234766340096.000000
vpvpv	    18.681	1.644725
vtvtv	    18.578	32000.000000
vsumr	    63.454	10.950721
vdotr	    63.529	1.644725
 vbor	     3.047	31924.046875
