Loop 	Time(sec) 	Checksum
 s423	    14.343	2.736748
 s424	    14.976	822.364014
 s431	    37.452	1674287.625000
 s441	     7.719	196500.265625
 s451	     3.384	32007.896484
 s452	    17.786	32511.939453
 s453	    14.095	21.901442
 s471	     5.352	64004.925781
 s481	     6.186	196500.265625
 s491	     5.504	32001.640625
s4112	     4.681	1127128.875000
s4113	     5.319	32001.640625
s4114	     9.151	32000.000000
s4115	     6.350	1.038636
s4116	     5.107	0.753265
s4117	     5.329	32002.205078
s4121	     7.398	196500.265625
   va	    21.779	1.644725
  vag	     6.338	1.644725
  vas	     6.203	1.644725
  vif	     3.744	1.644725
  vpv	    33.868	1642244.625000
  vtv	    33.873	32000.000000
vpvtv	    18.451	689788.562500
vpvts	     3.574	175234766340096.000000
vpvpv	    18.446	1.644725
vtvtv	    18.449	32000.000000
vsumr	    63.370	10.950721
vdotr	    63.447	1.644725
 vbor	     3.050	31924.046875
