Loop 	Time(sec) 	Checksum
 s000	     5.082	512066944.000000
 s111	     4.331	32000.410156
s1111	    13.285	16005.822266
 s112	    10.977	84644.898438
s1112	     8.303	32001.640625
 s113	    10.349	32000.640625
s1113	     5.089	32001.640625
 s114	     5.707	919.869873
 s115	    28.413	31745.953125
s1115	     8.481	0.065485
 s116	    59.925	32000.000000
 s118	     6.110	84488.515625
 s119	     9.288	86343.289062
s1119	     9.278	119107.445312
 s121	    11.626	32009.023438
 s122	     6.360	196490.187500
 s123	     5.546	32003.283203
 s124	     6.554	32001.640625
 s125	     5.621	131072.000000
 s126	     1.126	66949.914062
 s127	     9.599	32003.283203
 s128	     8.853	80000.000000
 s131	    18.770	32009.023438
 s132	    16.858	65538.562500
 s141	     6.199	32454472.000000
 s151	    30.558	32009.023438
 s152	    11.742	152207.562500
 s162	     4.966	32009.023438
 s171	     4.798	196500.265625
 s172	     6.505	196500.265625
