papiex version                : 1.0.3
papiex build                  : Aug 30 2019/14:43:52
Executable                    : /home/chermen/PycharmProjects/unrolling/TSVC/Measurements/a_15_0.out
Arguments                     : 
Processor                     : Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
Clockrate (MHz)               : 4600.000000
Hostname                      : sienne
Options                       : MULTIPLEX,MEMORY,PAPI_TOT_INS,PAPI_LST_INS,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_STL_ICY,PAPI_FUL_ICY,PAPI_BR_CN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_ICA,NO_MPI_PROF,NO_IO_PROF,NO_THREADSYNC_PROF,NEXTGEN
Domain                        : User
Process id                    : 5953
Session id                    : 26828
Parent process id             : 5952
Num. of threads               : 1
Start                         : Wed Nov 13 23:58:36 2019
Finish                        : Thu Nov 14 00:04:24 2019
8124             [PROCESS] Memory resident max KB
460              [PROCESS] Memory text (at exit) KB
6152             [PROCESS] Memory library (at exit) KB
3536             [PROCESS] Memory heap (at exit) KB
456              [PROCESS] Memory stack (at exit) KB
4280             [PROCESS] Memory shared (at exit) KB
0                [PROCESS] Memory locked (at exit) KB
347907576        [PROCESS] Wallclock usecs
347907080        Real usecs
1110527865725    Real cycles
347894025        Virtual usecs
1600312510400    Virtual cycles
5508459643562    PAPI_TOT_INS
1846591921101    PAPI_LST_INS
49207923312      PAPI_BR_INS
1545110515901    PAPI_LD_INS
301481405200     PAPI_SR_INS
1575869604425    PAPI_TOT_CYC
94303903589      PAPI_RES_STL
35694004963      PAPI_L1_DCM
6963311          PAPI_L1_ICM
547014           PAPI_TLB_DM
436516           PAPI_TLB_IM
49797879713      PAPI_L2_DCM
6100048          PAPI_L2_ICM
679052371        PAPI_STL_ICY
931458624063     PAPI_FUL_ICY
39132502300      PAPI_BR_CN
81597542         PAPI_BR_MSP
16478620508      PAPI_L2_DCA
6963311          PAPI_L2_ICA

1                [LABEL] s000
1                [s000] Measurements
16102083206      [s000] Real cycles
90812535345      [s000] PAPI_TOT_INS
33693532961      [s000] PAPI_LST_INS
429988543        [s000] PAPI_BR_INS
26864397072      [s000] PAPI_LD_INS
6829135889       [s000] PAPI_SR_INS
22746683831      [s000] PAPI_TOT_CYC
21436826         [s000] PAPI_RES_STL
800499121        [s000] PAPI_L1_DCM
48536            [s000] PAPI_L1_ICM
202              [s000] PAPI_TLB_DM
247              [s000] PAPI_TLB_IM
929427455        [s000] PAPI_L2_DCM
29802            [s000] PAPI_L2_ICM
10277847         [s000] PAPI_STL_ICY
15359079498      [s000] PAPI_FUL_ICY
427946545        [s000] PAPI_BR_CN
667303           [s000] PAPI_BR_MSP
405933978        [s000] PAPI_L2_DCA
48536            [s000] PAPI_L2_ICA

2                [LABEL] s111
1                [s111] Measurements
13718608677      [s111] Real cycles
77092431930      [s111] PAPI_TOT_INS
20023404113      [s111] PAPI_LST_INS
217049947        [s111] PAPI_BR_INS
16606044749      [s111] PAPI_LD_INS
3417359364       [s111] PAPI_SR_INS
19575424258      [s111] PAPI_TOT_CYC
51656974         [s111] PAPI_RES_STL
799392813        [s111] PAPI_L1_DCM
33502            [s111] PAPI_L1_ICM
309              [s111] PAPI_TLB_DM
18               [s111] PAPI_TLB_IM
910047092        [s111] PAPI_L2_DCM
4378             [s111] PAPI_L2_ICM
7249516          [s111] PAPI_STL_ICY
13737987995      [s111] PAPI_FUL_ICY
214391383        [s111] PAPI_BR_CN
348848           [s111] PAPI_BR_MSP
9125183          [s111] PAPI_L2_DCA
33502            [s111] PAPI_L2_ICA

3                [LABEL] s1111
1                [s1111] Measurements
46031844471      [s1111] Real cycles
241460115546     [s1111] PAPI_TOT_INS
71202070835      [s1111] PAPI_LST_INS
214589877        [s1111] PAPI_BR_INS
67783293725      [s1111] PAPI_LD_INS
3418777110       [s1111] PAPI_SR_INS
65258219773      [s1111] PAPI_TOT_CYC
21081468         [s1111] PAPI_RES_STL
1002101753       [s1111] PAPI_L1_DCM
379043           [s1111] PAPI_L1_ICM
47               [s1111] PAPI_TLB_DM
38               [s1111] PAPI_TLB_IM
1537335586       [s1111] PAPI_L2_DCM
