Loop 	Time(sec) 	Checksum
 s173	    18.702	32001.626953
 s174	    18.664	32001.626953
 s175	     6.389	32009.023438
 s176	     4.950	32063.902344
 s211	    10.885	63983.308594
 s212	     9.150	132018.859375
s1213	     7.995	132016.171875
 s221	     5.433	1543684096.000000
s1221	     3.386	630439296.000000
 s222	     7.563	32000.000000
 s231	     8.688	119107.445312
 s232	     3.727	65536.000000
s1232	     5.333	33956.261719
 s233	    18.815	504920.187500
s2233	    13.489	337652.718750
 s235	    18.816	160024.046875
 s241	    22.138	64000.000000
 s242	     3.522	1535966208.000000
 s243	    16.982	810659.437500
 s244	    15.016	70110.828125
s1244	    13.774	108527.601562
s2244	     7.226	70110.859375
 s251	    21.008	32004.367188
s1251	    37.832	400005.843750
s2251	     9.324	2.635389
s3251	    11.451	12.595580
 s252	     4.745	63999.000000
 s253	    10.818	3200845824.000000
 s254	    15.643	32000.000000
 s255	     4.618	31953.501953
