Loop 	Time(sec) 	Checksum
 s423	    14.483	2.736748
 s424	    15.059	822.364014
 s431	    37.667	1674287.625000
 s441	     7.723	196500.265625
 s451	     3.300	32007.896484
 s452	    17.843	32511.939453
 s453	    14.094	21.901442
 s471	     5.357	64004.925781
 s481	     6.206	196500.265625
 s491	     5.513	32001.640625
s4112	     4.707	1127128.875000
s4113	     5.357	32001.640625
s4114	     9.208	32000.000000
s4115	     6.356	1.038636
s4116	     5.088	0.753265
s4117	     5.331	32002.205078
s4121	     7.445	196500.265625
   va	    22.125	1.644725
  vag	     6.432	1.644725
  vas	     6.281	1.644725
  vif	     3.760	1.644725
  vpv	    34.030	1642244.625000
  vtv	    34.039	32000.000000
vpvtv	    18.483	689788.562500
vpvts	     3.588	175234766340096.000000
vpvpv	    18.485	1.644725
vtvtv	    18.471	32000.000000
vsumr	    63.439	10.950721
vdotr	    63.511	1.644725
 vbor	     3.051	31924.046875
