Loop 	Time(sec) 	Checksum
 s256	     1.192	130176.000000
 s257	     1.254	163072.000000
 s258	     0.084	14.652780
 s261	     8.670	261013.984375
 s271	    24.756	689788.562500
 s272	     1.813	64000.000000
 s273	    11.700	99055.859375
 s274	    11.471	3201031680.000000
 s275	     1.500	65536.000000
s2275	    15.063	65536.000000
 s276	    20.969	689788.562500
s1279	     1.639	689810.437500
s2710	     6.996	96003.281250
s2711	    26.855	689788.562500
s2712	    28.222	289747.562500
 s281	     6.599	32000.000000
s1281	    36.614	inf
 s291	     8.200	32000.000000
 s292	     5.514	31953.501953
 s293	     5.211	32000.000000
s2101	     0.813	1704092.000000
s2102	     6.098	256.000000
s2111	    18.176	34544940.000000
 s311	    63.377	10.950721
s31111	     9.297	10.950721
 s312	    63.376	1.030518
 s313	    31.741	1.644725
 s314	     8.195	1.000000
 s315	     1.892	54857.000000
 s316	    14.472	0.000031
