Loop 	Time(sec) 	Checksum
 s423	    14.472	2.736748
 s424	    15.059	822.364014
 s431	    37.499	1674287.625000
 s441	     7.704	196500.265625
 s451	     3.309	32007.896484
 s452	    17.814	32511.939453
 s453	    14.091	21.901442
 s471	     5.358	64004.925781
 s481	     6.182	196500.265625
 s491	     5.496	32001.640625
s4112	     4.607	1127128.875000
s4113	     5.210	32001.640625
s4114	     8.877	32000.000000
s4115	     6.372	1.038636
s4116	     5.104	0.753265
s4117	     5.332	32002.205078
s4121	     7.417	196500.265625
   va	    22.018	1.644725
  vag	     6.218	1.644725
  vas	     6.212	1.644725
  vif	     3.752	1.644725
  vpv	    33.924	1642244.625000
  vtv	    33.934	32000.000000
vpvtv	    18.436	689788.562500
vpvts	     3.574	175234766340096.000000
vpvpv	    18.438	1.644725
vtvtv	    18.440	32000.000000
vsumr	    63.433	10.950721
vdotr	    63.520	1.644725
 vbor	     3.051	31924.046875
