Loop 	Time(sec) 	Checksum
 s173	    18.673	32001.626953
 s174	    18.652	32001.626953
 s175	     6.385	32009.023438
 s176	     4.944	32063.902344
 s211	    10.910	63983.308594
 s212	     8.994	132018.859375
s1213	     7.465	132016.171875
 s221	     5.464	1543684096.000000
s1221	     3.382	630439296.000000
 s222	     7.206	32000.000000
 s231	     8.654	119107.445312
 s232	     3.709	65536.000000
s1232	     5.353	33956.261719
 s233	    18.813	504920.187500
s2233	    13.505	337652.718750
 s235	    18.690	160024.046875
 s241	    21.947	64000.000000
 s242	     3.520	1535966208.000000
 s243	    16.934	810659.437500
 s244	    14.964	70110.828125
s1244	    13.706	108527.601562
s2244	     6.714	70110.859375
 s251	    21.012	32004.367188
s1251	    36.832	400005.843750
s2251	     8.871	2.635389
s3251	    11.683	12.595580
 s252	     4.758	63999.000000
 s253	    11.091	3200845824.000000
 s254	    15.659	32000.000000
 s255	     4.627	31953.501953
