Loop 	Time(sec) 	Checksum
 s173	    19.277	32001.626953
 s174	    19.236	32001.626953
 s175	     6.382	32009.023438
 s176	     5.028	32063.902344
 s211	     9.724	63983.308594
 s212	     7.907	132018.859375
s1213	     7.116	132016.171875
 s221	     4.898	1543684096.000000
s1221	     3.546	630439296.000000
 s222	     6.608	32000.000000
 s231	     9.077	119107.445312
 s232	     3.745	65536.000000
s1232	     5.683	33956.261719
 s233	    19.679	504920.187500
s2233	    13.997	337652.718750
 s235	    19.892	160024.046875
 s241	    18.882	64000.000000
 s242	     3.526	1535966208.000000
 s243	    14.080	810659.437500
 s244	    12.792	70110.828125
s1244	    11.971	108527.601562
s2244	     6.715	70110.859375
 s251	    21.102	32004.367188
s1251	    32.152	400005.843750
s2251	     8.295	2.635389
s3251	     9.941	12.595580
 s252	     5.317	63999.000000
 s253	     9.766	3200845824.000000
 s254	    16.093	32000.000000
 s255	     4.999	31953.501953
