Loop 	Time(sec) 	Checksum
 s317	   124.007	0.000000
 s319	    25.783	43.803417
s3110	     1.961	514.000000
s13110	     1.951	514.000000
s3111	     3.179	10.950721
s3112	     6.404	1.644725
s3113	     7.945	2.000000
 s321	     9.175	32000.000000
 s322	     5.996	32000.000000
 s323	     6.381	146472.437500
 s331	     1.644	32000.000000
 s341	     4.109	10.950721
 s342	     4.597	10.950721
 s343	     0.756	1567.932129
 s351	    53.941	25606707200.000000
s1351	    39.514	32008.869141
 s352	    37.247	1.644725
 s353	     7.794	3200838400.000000
 s421	    15.685	32009.023438
s1421	    14.252	16000.000000
 s422	    28.577	257.660736
