Loop 	Time(sec) 	Checksum
 s256	     1.165	130176.000000
 s257	     1.240	163072.000000
 s258	     0.085	14.652780
 s261	     9.217	261013.984375
 s271	    24.868	689788.562500
 s272	     2.591	64000.000000
 s273	    12.826	99055.859375
 s274	    12.148	3201031680.000000
 s275	     1.358	65536.000000
s2275	    13.417	65536.000000
 s276	    23.341	689788.562500
s1279	     2.753	689810.437500
s2710	     6.149	96003.281250
s2711	    27.190	689788.562500
s2712	    28.071	289747.562500
 s281	     6.884	32000.000000
s1281	    37.314	inf
 s291	     8.872	32000.000000
 s292	     5.669	31953.501953
 s293	    10.595	32000.000000
s2101	     0.801	1704092.000000
s2102	     8.704	256.000000
s2111	    18.264	34544940.000000
 s311	    63.483	10.950721
s31111	     9.199	10.950721
 s312	    63.504	1.030518
 s313	    31.805	1.644725
 s314	    13.311	1.000000
 s315	     2.820	54857.000000
 s316	    17.853	0.000031
