Loop 	Time(sec) 	Checksum
 s317	   124.007	0.000000
 s319	    25.772	43.803417
s3110	     1.952	514.000000
s13110	     1.952	514.000000
s3111	     3.179	10.950721
s3112	     6.402	1.644725
s3113	     7.962	2.000000
 s321	     9.167	32000.000000
 s322	     5.994	32000.000000
 s323	     6.379	146472.437500
 s331	     1.653	32000.000000
 s341	     4.112	10.950721
 s342	     4.577	10.950721
 s343	     0.896	1567.932129
 s351	    53.113	25606707200.000000
s1351	    39.441	32008.869141
 s352	    36.800	1.644725
 s353	     7.698	3200838400.000000
 s421	    15.728	32009.023438
s1421	    14.259	16000.000000
 s422	    28.638	257.660736
