Loop 	Time(sec) 	Checksum
 s000	     5.146	512066944.000000
 s111	     4.349	32000.410156
s1111	    13.254	16005.822266
 s112	    11.056	84644.898438
s1112	     8.408	32001.640625
 s113	    10.492	32000.640625
s1113	     5.124	32001.640625
 s114	     6.246	919.869873
 s115	    28.729	31745.953125
s1115	     8.549	0.065485
 s116	    54.604	32000.000000
 s118	     6.067	84488.515625
 s119	     9.676	86343.289062
s1119	     9.414	119107.445312
 s121	    12.188	32009.023438
 s122	     6.591	196490.187500
 s123	     5.903	32003.283203
 s124	     6.749	32001.640625
 s125	     5.869	131072.000000
 s126	     1.184	66949.914062
 s127	    10.059	32003.283203
 s128	     9.222	80000.000000
 s131	    19.202	32009.023438
 s132	    17.678	65538.562500
 s141	     6.723	32454472.000000
 s151	    31.598	32009.023438
 s152	    12.029	152207.562500
 s162	     5.148	32009.023438
 s171	     5.049	196500.265625
 s172	     6.733	196500.265625
