Loop 	Time(sec) 	Checksum
 s317	   124.087	0.000000
 s319	    25.851	43.803417
s3110	     1.951	514.000000
s13110	     1.948	514.000000
s3111	     3.176	10.950721
s3112	     6.391	1.644725
s3113	     7.909	2.000000
 s321	     9.179	32000.000000
 s322	     5.999	32000.000000
 s323	     6.388	146472.437500
 s331	     1.630	32000.000000
 s341	     4.102	10.950721
 s342	     4.605	10.950721
 s343	     0.760	1567.932129
 s351	    54.658	25606707200.000000
s1351	    39.440	32008.869141
 s352	    37.767	1.644725
 s353	     7.866	3200838400.000000
 s421	    15.679	32009.023438
s1421	    14.225	16000.000000
 s422	    28.605	257.660736
