Loop 	Time(sec) 	Checksum
 s256	     1.182	130176.000000
 s257	     1.250	163072.000000
 s258	     0.083	14.652780
 s261	     8.759	261013.984375
 s271	    24.781	689788.562500
 s272	     1.844	64000.000000
 s273	    11.894	99055.859375
 s274	    10.937	3201031680.000000
 s275	     1.491	65536.000000
s2275	    14.846	65536.000000
 s276	    20.957	689788.562500
s1279	     1.699	689810.437500
s2710	     6.426	96003.281250
s2711	    26.887	689788.562500
s2712	    28.235	289747.562500
 s281	     6.617	32000.000000
s1281	    36.651	inf
 s291	     8.333	32000.000000
 s292	     5.535	31953.501953
 s293	     5.433	32000.000000
s2101	     0.785	1704092.000000
s2102	     6.722	256.000000
s2111	    18.215	34544940.000000
 s311	    63.403	10.950721
s31111	     9.154	10.950721
 s312	    63.422	1.030518
 s313	    31.743	1.644725
 s314	     8.421	1.000000
 s315	     1.934	54857.000000
 s316	    14.685	0.000031
