Loop 	Time(sec) 	Checksum
 s173	    18.682	32001.626953
 s174	    18.661	32001.626953
 s175	     6.377	32009.023438
 s176	     4.952	32063.902344
 s211	    10.427	63983.308594
 s212	     7.943	132018.859375
s1213	     7.402	132016.171875
 s221	     5.219	1543684096.000000
s1221	     3.404	630439296.000000
 s222	     6.971	32000.000000
 s231	     8.712	119107.445312
 s232	     3.709	65536.000000
s1232	     5.329	33956.261719
 s233	    18.768	504920.187500
s2233	    13.534	337652.718750
 s235	    18.799	160024.046875
 s241	    21.082	64000.000000
 s242	     3.525	1535966208.000000
 s243	    16.797	810659.437500
 s244	    14.707	70110.828125
s1244	    13.465	108527.601562
s2244	     6.715	70110.859375
 s251	    20.961	32004.367188
s1251	    32.497	400005.843750
s2251	     8.350	2.635389
s3251	    10.935	12.595580
 s252	     4.781	63999.000000
 s253	    10.621	3200845824.000000
 s254	    15.687	32000.000000
 s255	     4.653	31953.501953
