Loop 	Time(sec) 	Checksum
 s173	    18.661	32001.626953
 s174	    18.655	32001.626953
 s175	     6.383	32009.023438
 s176	     4.951	32063.902344
 s211	    10.832	63983.308594
 s212	     8.876	132018.859375
s1213	     7.461	132016.171875
 s221	     5.449	1543684096.000000
s1221	     3.396	630439296.000000
 s222	     7.382	32000.000000
 s231	     8.985	119107.445312
 s232	     3.713	65536.000000
s1232	     5.585	33956.261719
 s233	    19.633	504920.187500
s2233	    13.963	337652.718750
 s235	    19.395	160024.046875
 s241	    22.065	64000.000000
 s242	     3.526	1535966208.000000
 s243	    16.950	810659.437500
 s244	    14.920	70110.828125
s1244	    13.239	108527.601562
s2244	     6.713	70110.859375
 s251	    20.979	32004.367188
s1251	    34.399	400005.843750
s2251	     8.939	2.635389
s3251	    11.171	12.595580
 s252	     4.773	63999.000000
 s253	    11.027	3200845824.000000
 s254	    15.656	32000.000000
 s255	     4.642	31953.501953
