Loop 	Time(sec) 	Checksum
 s317	   124.179	0.000000
 s319	    25.754	43.803417
s3110	     1.972	514.000000
s13110	     1.970	514.000000
s3111	     3.176	10.950721
s3112	     6.422	1.644725
s3113	     8.022	2.000000
 s321	     9.165	32000.000000
 s322	     5.990	32000.000000
 s323	     6.376	146472.437500
 s331	     1.663	32000.000000
 s341	     4.130	10.950721
 s342	     4.576	10.950721
 s343	     0.805	1567.932129
 s351	    53.119	25606707200.000000
s1351	    39.830	32008.869141
 s352	    35.676	1.644725
 s353	     7.551	3200838400.000000
 s421	    15.720	32009.023438
s1421	    14.295	16000.000000
 s422	    28.698	257.660736
