Loop 	Time(sec) 	Checksum
 s000	     5.386	512066944.000000
 s111	     4.510	32000.410156
s1111	    13.177	16005.822266
 s112	    11.670	84644.898438
s1112	     9.009	32001.640625
 s113	    12.069	32000.640625
s1113	     5.419	32001.640625
 s114	     5.896	919.869873
 s115	    29.143	31745.953125
s1115	     8.777	0.065485
 s116	    52.718	32000.000000
 s118	     6.344	84488.515625
 s119	     9.619	86343.289062
s1119	     9.355	119107.445312
 s121	    12.209	32009.023438
 s122	     6.360	196490.187500
 s123	     5.516	32003.283203
 s124	     6.609	32001.640625
 s125	     5.705	131072.000000
 s126	     1.123	66949.914062
 s127	     9.602	32003.283203
 s128	     8.703	80000.000000
 s131	    19.512	32009.023438
 s132	    17.372	65538.562500
 s141	     6.492	32454472.000000
 s151	    30.546	32009.023438
 s152	    11.761	152207.562500
 s162	     5.093	32009.023438
 s171	     5.356	196500.265625
 s172	     6.483	196500.265625
