Loop 	Time(sec) 	Checksum
 s000	     5.019	512066944.000000
 s111	     4.311	32000.410156
s1111	    15.450	16005.822266
 s112	    10.761	84644.898438
s1112	     8.098	32001.640625
 s113	    10.064	32000.640625
s1113	     5.008	32001.640625
 s114	     5.298	919.869873
 s115	    28.633	31745.953125
s1115	     8.838	0.065485
 s116	    67.645	32000.000000
 s118	     6.095	84488.515625
 s119	     9.169	86343.289062
s1119	     9.156	119107.445312
 s121	    11.402	32009.023438
 s122	     6.353	196490.187500
 s123	     6.119	32003.283203
 s124	     6.565	32001.640625
 s125	     5.560	131072.000000
 s126	     1.167	66949.914062
 s127	    10.672	32003.283203
 s128	     9.422	80000.000000
 s131	    18.643	32009.023438
 s132	    16.567	65538.562500
 s141	     6.454	32454472.000000
 s151	    30.549	32009.023438
 s152	    11.547	152207.562500
 s162	     4.960	32009.023438
 s171	     4.552	196500.265625
 s172	     6.503	196500.265625
