papiex version                : 1.0.3
papiex build                  : Aug 30 2019/14:43:52
Executable                    : /home/chermen/PycharmProjects/unrolling/TSVC/Measurements/a_17_1.out
Arguments                     : 
Processor                     : Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
Clockrate (MHz)               : 4600.000000
Hostname                      : sienne
Options                       : MULTIPLEX,MEMORY,PAPI_TOT_INS,PAPI_LST_INS,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_STL_ICY,PAPI_FUL_ICY,PAPI_BR_CN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_ICA,NO_MPI_PROF,NO_IO_PROF,NO_THREADSYNC_PROF,NEXTGEN
Domain                        : User
Process id                    : 5736
Session id                    : 26828
Parent process id             : 5735
Num. of threads               : 1
Start                         : Thu Nov 14 16:58:25 2019
Finish                        : Thu Nov 14 17:04:07 2019
7792             [PROCESS] Memory resident max KB
504              [PROCESS] Memory text (at exit) KB
6152             [PROCESS] Memory library (at exit) KB
3536             [PROCESS] Memory heap (at exit) KB
456              [PROCESS] Memory stack (at exit) KB
4228             [PROCESS] Memory shared (at exit) KB
0                [PROCESS] Memory locked (at exit) KB
342010380        [PROCESS] Wallclock usecs
342009888        Real usecs
1091703419683    Real cycles
342007650        Virtual usecs
1573235185400    Virtual cycles
5299601834949    PAPI_TOT_INS
1814379099265    PAPI_LST_INS
20278118678      PAPI_BR_INS
1525794111895    PAPI_LD_INS
288584987370     PAPI_SR_INS
1548940724606    PAPI_TOT_CYC
147523574655     PAPI_RES_STL
66420658161      PAPI_L1_DCM
5515358          PAPI_L1_ICM
103530           PAPI_TLB_DM
633830           PAPI_TLB_IM
142820362653     PAPI_L2_DCM
5175851          PAPI_L2_ICM
628885930        PAPI_STL_ICY
895611937229     PAPI_FUL_ICY
20145453736      PAPI_BR_CN
37661942         PAPI_BR_MSP
41292129235      PAPI_L2_DCA
5515358          PAPI_L2_ICA

1                [LABEL] s173
1                [s173] Measurements
59731099136      [s173] Real cycles
337729018272     [s173] PAPI_TOT_INS
115555128500     [s173] PAPI_LST_INS
951943419        [s173] PAPI_BR_INS
98617192692      [s173] PAPI_LD_INS
16937935808      [s173] PAPI_SR_INS
84742877365      [s173] PAPI_TOT_CYC
101395909        [s173] PAPI_RES_STL
3001570407       [s173] PAPI_L1_DCM
285864           [s173] PAPI_L1_ICM
18               [s173] PAPI_TLB_DM
0                [s173] PAPI_TLB_IM
1288826805       [s173] PAPI_L2_DCM
176510           [s173] PAPI_L2_ICM
34687568         [s173] PAPI_STL_ICY
51919785566      [s173] PAPI_FUL_ICY
946254891        [s173] PAPI_BR_CN
2963377          [s173] PAPI_BR_MSP
1031976815       [s173] PAPI_L2_DCA
285864           [s173] PAPI_L2_ICA

2                [LABEL] s174
1                [s174] Measurements
59687453135      [s174] Real cycles
337921853969     [s174] PAPI_TOT_INS
115492952010     [s174] PAPI_LST_INS
948105445        [s174] PAPI_BR_INS
98579489101      [s174] PAPI_LD_INS
16913462909      [s174] PAPI_SR_INS
84900920183      [s174] PAPI_TOT_CYC
95719864         [s174] PAPI_RES_STL
3000293740       [s174] PAPI_L1_DCM
84175            [s174] PAPI_L1_ICM
152              [s174] PAPI_TLB_DM
0                [s174] PAPI_TLB_IM
1287733940       [s174] PAPI_L2_DCM
58895            [s174] PAPI_L2_ICM
23351575         [s174] PAPI_STL_ICY
54781985349      [s174] PAPI_FUL_ICY
947183720        [s174] PAPI_BR_CN
1588652          [s174] PAPI_BR_MSP
1033685909       [s174] PAPI_L2_DCA
84175            [s174] PAPI_L2_ICA

3                [LABEL] s175
1                [s175] Measurements
20404411080      [s175] Real cycles
70294401722      [s175] PAPI_TOT_INS
35654544718      [s175] PAPI_LST_INS
3188417033       [s175] PAPI_BR_INS
29277662731      [s175] PAPI_LD_INS
6376881987       [s175] PAPI_SR_INS
28924253349      [s175] PAPI_TOT_CYC
8228005641       [s175] PAPI_RES_STL
400718476        [s175] PAPI_L1_DCM
124539           [s175] PAPI_L1_ICM
1663             [s175] PAPI_TLB_DM
3220             [s175] PAPI_TLB_IM
371541323        [s175] PAPI_L2_DCM
52174            [s175] PAPI_L2_ICM
10089138         [s175] PAPI_STL_ICY
12894533406      [s175] PAPI_FUL_ICY
3195947720       [s175] PAPI_BR_CN
204554           [s175] PAPI_BR_MSP
7657850          [s175] PAPI_L2_DCA
124539           [s175] PAPI_L2_ICA

4                [LABEL] s176
1                [s176] Measurements
15856598003      [s176] Real cycles
88935976743      [s176] PAPI_TOT_INS
31387433094      [s176] PAPI_LST_INS
194538089        [s176] PAPI_BR_INS
28045855278      [s176] PAPI_LD_INS
3341577816       [s176] PAPI_SR_INS
22336108671      [s176] PAPI_TOT_CYC
60546105         [s176] PAPI_RES_STL
381691529        [s176] PAPI_L1_DCM
78741            [s176] PAPI_L1_ICM
32867            [s176] PAPI_TLB_DM
50               [s176] PAPI_TLB_IM
84738475         [s176] PAPI_L2_DCM
45685            [s176] PAPI_L2_ICM
7295120          [s176] PAPI_STL_ICY
14344732182      [s176] PAPI_FUL_ICY
182107970        [s176] PAPI_BR_CN
708657           [s176] PAPI_BR_MSP
9251456          [s176] PAPI_L2_DCA
78741            [s176] PAPI_L2_ICA

5                [LABEL] s211
1                [s211] Measurements
32262407432      [s211] Real cycles
170095922437     [s211] PAPI_TOT_INS
51899846940      [s211] PAPI_LST_INS
189184976        [s211] PAPI_BR_INS
45313286792      [s211] PAPI_LD_INS
6586560148       [s211] PAPI_SR_INS
45764053909      [s211] PAPI_TOT_CYC
157698758        [s211] PAPI_RES_STL
997873825        [s211] PAPI_L1_DCM
253850           [s211] PAPI_L1_ICM
19               [s211] PAPI_TLB_DM
5916             [s211] PAPI_TLB_IM
2086483185       [s211] PAPI_L2_DCM
252353           [s211] PAPI_L2_ICM
37952398         [s211] PAPI_STL_ICY
29427015933      [s211] PAPI_FUL_ICY
190003107        [s211] PAPI_BR_CN
305662           [s211] PAPI_BR_MSP
234179451        [s211] PAPI_L2_DCA
253850           [s211] PAPI_L2_ICA

6                [LABEL] s212
1                [s212] Measurements
25367279666      [s212] Real cycles
144372308960     [s212] PAPI_TOT_INS
44692284964      [s212] PAPI_LST_INS
175300977        [s212] PAPI_BR_INS
38225273628      [s212] PAPI_LD_INS
6467011336       [s212] PAPI_SR_INS
36134597193      [s212] PAPI_TOT_CYC
58767269         [s212] PAPI_RES_STL
800746587        [s212] PAPI_L1_DCM
148561           [s212] PAPI_L1_ICM
211              [s212] PAPI_TLB_DM
78442            [s212] PAPI_TLB_IM
1503744352       [s212] PAPI_L2_DCM
142035           [s212] PAPI_L2_ICM
8893243          [s212] PAPI_STL_ICY
23409294733      [s212] PAPI_FUL_ICY
189642947        [s212] PAPI_BR_CN
309320           [s212] PAPI_BR_MSP
50207818         [s212] PAPI_L2_DCA
148561           [s212] PAPI_L2_ICA

7                [LABEL] s1213
1                [s1213] Measurements
23521590153      [s1213] Real cycles
122414115845     [s1213] PAPI_TOT_INS
39073572226      [s1213] PAPI_LST_INS
188925379        [s1213] PAPI_BR_INS
32497922158      [s1213] PAPI_LD_INS
6575650068       [s1213] PAPI_SR_INS
33375096931      [s1213] PAPI_TOT_CYC
812311342        [s1213] PAPI_RES_STL
797465734        [s1213] PAPI_L1_DCM
146433           [s1213] PAPI_L1_ICM
200              [s1213] PAPI_TLB_DM
27778            [s1213] PAPI_TLB_IM
1467092139       [s1213] PAPI_L2_DCM
137104           [s1213] PAPI_L2_ICM
37902397         [s1213] PAPI_STL_ICY
20540637159      [s1213] PAPI_FUL_ICY
189067375        [s1213] PAPI_BR_CN
335303           [s1213] PAPI_BR_MSP
28874889         [s1213] PAPI_L2_DCA
146433           [s1213] PAPI_L2_ICA

8                [LABEL] s221
1                [s221] Measurements
15463053040      [s221] Real cycles
80177618454      [s221] PAPI_TOT_INS
25872058047      [s221] PAPI_LST_INS
94039602         [s221] PAPI_BR_INS
22599337637      [s221] PAPI_LD_INS
3272720410       [s221] PAPI_SR_INS
21718417746      [s221] PAPI_TOT_CYC
404880653        [s221] PAPI_RES_STL
418055576        [s221] PAPI_L1_DCM
137701           [s221] PAPI_L1_ICM
9                [s221] PAPI_TLB_DM
5                [s221] PAPI_TLB_IM
740619420        [s221] PAPI_L2_DCM
137484           [s221] PAPI_L2_ICM
14217434         [s221] PAPI_STL_ICY
13706220308      [s221] PAPI_FUL_ICY
94911156         [s221] PAPI_BR_CN
156004           [s221] PAPI_BR_MSP
215523650        [s221] PAPI_L2_DCA
137701           [s221] PAPI_L2_ICA

9                [LABEL] s1221
1                [s1221] Measurements
10845514651      [s1221] Real cycles
64284325231      [s1221] PAPI_TOT_INS
21004632131      [s1221] PAPI_LST_INS
188688655        [s1221] PAPI_BR_INS
17453719899      [s1221] PAPI_LD_INS
3550912232       [s1221] PAPI_SR_INS
15470703514      [s1221] PAPI_TOT_CYC
-9723414         [s1221] PAPI_RES_STL
381587595        [s1221] PAPI_L1_DCM
24108            [s1221] PAPI_L1_ICM
-75              [s1221] PAPI_TLB_DM
-244             [s1221] PAPI_TLB_IM
353733435        [s1221] PAPI_L2_DCM
11560            [s1221] PAPI_L2_ICM
4096305          [s1221] PAPI_STL_ICY
9327754756       [s1221] PAPI_FUL_ICY
186911721        [s1221] PAPI_BR_CN
192826           [s1221] PAPI_BR_MSP
5009203          [s1221] PAPI_L2_DCA
24108            [s1221] PAPI_L2_ICA

10               [LABEL] s222
1                [s222] Measurements
23046824819      [s222] Real cycles
115475583483     [s222] PAPI_TOT_INS
35572033776      [s222] PAPI_LST_INS
94429234         [s222] PAPI_BR_INS
30677717991      [s222] PAPI_LD_INS
4894315785       [s222] PAPI_SR_INS
32687419479      [s222] PAPI_TOT_CYC
14192029         [s222] PAPI_RES_STL
399282148        [s222] PAPI_L1_DCM
233720           [s222] PAPI_L1_ICM
0                [s222] PAPI_TLB_DM
5                [s222] PAPI_TLB_IM
808383769        [s222] PAPI_L2_DCM
230620           [s222] PAPI_L2_ICM
4693345          [s222] PAPI_STL_ICY
20534487064      [s222] PAPI_FUL_ICY
95281309         [s222] PAPI_BR_CN
116993           [s222] PAPI_BR_MSP
75649968         [s222] PAPI_L2_DCA
233720           [s222] PAPI_L2_ICA

11               [LABEL] s231
1                [s231] Measurements
27569204437      [s231] Real cycles
79980400774      [s231] PAPI_TOT_INS
23525115464      [s231] PAPI_LST_INS
199877967        [s231] PAPI_BR_INS
20965662214      [s231] PAPI_LD_INS
2559453250       [s231] PAPI_SR_INS
39201420922      [s231] PAPI_TOT_CYC
17569977055      [s231] PAPI_RES_STL
5648253550       [s231] PAPI_L1_DCM
74774            [s231] PAPI_L1_ICM
177              [s231] PAPI_TLB_DM
9720             [s231] PAPI_TLB_IM
13881006109      [s231] PAPI_L2_DCM
72664            [s231] PAPI_L2_ICM
6542610          [s231] PAPI_STL_ICY
14212265531      [s231] PAPI_FUL_ICY
180669252        [s231] PAPI_BR_CN
51186            [s231] PAPI_BR_MSP
5139041364       [s231] PAPI_L2_DCA
74774            [s231] PAPI_L2_ICA

12               [LABEL] s232
1                [s232] Measurements
11827829588      [s232] Real cycles
50178600341      [s232] PAPI_TOT_INS
14870494875      [s232] PAPI_LST_INS
199263146        [s232] PAPI_BR_INS
13386147359      [s232] PAPI_LD_INS
1484347516       [s232] PAPI_SR_INS
16676106616      [s232] PAPI_TOT_CYC
2448585180       [s232] PAPI_RES_STL
225332183        [s232] PAPI_L1_DCM
63204            [s232] PAPI_L1_ICM
83               [s232] PAPI_TLB_DM
541              [s232] PAPI_TLB_IM
436765136        [s232] PAPI_L2_DCM
56877            [s232] PAPI_L2_ICM
7658976          [s232] PAPI_STL_ICY
9347188312       [s232] PAPI_FUL_ICY
180485878        [s232] PAPI_BR_CN
2062830          [s232] PAPI_BR_MSP
38630002         [s232] PAPI_L2_DCA
63204            [s232] PAPI_L2_ICA

13               [LABEL] s1232
1                [s1232] Measurements
17089940376      [s1232] Real cycles
52238861491      [s1232] PAPI_TOT_INS
17532194484      [s1232] PAPI_LST_INS
199566865        [s1232] PAPI_BR_INS
15838141450      [s1232] PAPI_LD_INS
1694053034       [s1232] PAPI_SR_INS
24264558370      [s1232] PAPI_TOT_CYC
11218734095      [s1232] PAPI_RES_STL
3872578202       [s1232] PAPI_L1_DCM
77020            [s1232] PAPI_L1_ICM
2759             [s1232] PAPI_TLB_DM
4371             [s1232] PAPI_TLB_IM
8871537213       [s1232] PAPI_L2_DCM
83961            [s1232] PAPI_L2_ICM
6273900          [s1232] PAPI_STL_ICY
8370618733       [s1232] PAPI_FUL_ICY
179434195        [s1232] PAPI_BR_CN
1992534          [s1232] PAPI_BR_MSP
3837319396       [s1232] PAPI_L2_DCA
77020            [s1232] PAPI_L2_ICA

14               [LABEL] s233
1                [s233] Measurements
60000814102      [s233] Real cycles
163394588496     [s233] PAPI_TOT_INS
53995263224      [s233] PAPI_LST_INS
2769086401       [s233] PAPI_BR_INS
46177150083      [s233] PAPI_LD_INS
7818113141       [s233] PAPI_SR_INS
85003591247      [s233] PAPI_TOT_CYC
39278440728      [s233] PAPI_RES_STL
10911963897      [s233] PAPI_L1_DCM
168550           [s233] PAPI_L1_ICM
34621            [s233] PAPI_TLB_DM
76               [s233] PAPI_TLB_IM
31997410561      [s233] PAPI_L2_DCM
172019           [s233] PAPI_L2_ICM
32461193         [s233] PAPI_STL_ICY
26706457094      [s233] PAPI_FUL_ICY
2712210499       [s233] PAPI_BR_CN
10020638         [s233] PAPI_BR_MSP
9593509193       [s233] PAPI_L2_DCA
168550           [s233] PAPI_L2_ICA

15               [LABEL] s2233
1                [s2233] Measurements
43106604595      [s2233] Real cycles
163154141276     [s2233] PAPI_TOT_INS
54036830479      [s2233] PAPI_LST_INS
2727835016       [s2233] PAPI_BR_INS
46198624602      [s2233] PAPI_LD_INS
7838205877       [s2233] PAPI_SR_INS
61251050471      [s2233] PAPI_TOT_CYC
17435520148      [s2233] PAPI_RES_STL
6034623388       [s2233] PAPI_L1_DCM
101459           [s2233] PAPI_L1_ICM
28692            [s2233] PAPI_TLB_DM
8489             [s2233] PAPI_TLB_IM
14986150786      [s2233] PAPI_L2_DCM
103626           [s2233] PAPI_L2_ICM
44611699         [s2233] PAPI_STL_ICY
30796827699      [s2233] PAPI_FUL_ICY
2733913154       [s2233] PAPI_BR_CN
9973276          [s2233] PAPI_BR_MSP
4612868488       [s2233] PAPI_L2_DCA
101459           [s2233] PAPI_L2_ICA

16               [LABEL] s235
1                [s235] Measurements
59517994059      [s235] Real cycles
190701767277     [s235] PAPI_TOT_INS
57674898038      [s235] PAPI_LST_INS
431605075        [s235] PAPI_BR_INS
52146183585      [s235] PAPI_LD_INS
5528714453       [s235] PAPI_SR_INS
84313679749      [s235] PAPI_TOT_CYC
32484952878      [s235] PAPI_RES_STL
11267211056      [s235] PAPI_L1_DCM
261141           [s235] PAPI_L1_ICM
1246             [s235] PAPI_TLB_DM
3863             [s235] PAPI_TLB_IM
29725903230      [s235] PAPI_L2_DCM
261486           [s235] PAPI_L2_ICM
11551938         [s235] PAPI_STL_ICY
31689184199      [s235] PAPI_FUL_ICY
334145802        [s235] PAPI_BR_CN
54199            [s235] PAPI_BR_MSP
10287810352      [s235] PAPI_L2_DCA
261141           [s235] PAPI_L2_ICA

17               [LABEL] s241
1                [s241] Measurements
62803640963      [s241] Real cycles
331576633923     [s241] PAPI_TOT_INS
103824640117     [s241] PAPI_LST_INS
379024259        [s241] PAPI_BR_INS
90646677139      [s241] PAPI_LD_INS
13177962978      [s241] PAPI_SR_INS
89117701823      [s241] PAPI_TOT_CYC
1115955273       [s241] PAPI_RES_STL
1599382868       [s241] PAPI_L1_DCM
254576           [s241] PAPI_L1_ICM
29               [s241] PAPI_TLB_DM
90316            [s241] PAPI_TLB_IM
2980079086       [s241] PAPI_L2_DCM
253718           [s241] PAPI_L2_ICM
86857367         [s241] PAPI_STL_ICY
54187853474      [s241] PAPI_FUL_ICY
404408756        [s241] PAPI_BR_CN
654929           [s241] PAPI_BR_MSP
390045182        [s241] PAPI_L2_DCA
254576           [s241] PAPI_L2_ICA

18               [LABEL] s242
1                [s242] Measurements
11255242723      [s242] Real cycles
22784072954      [s242] PAPI_TOT_INS
5695975687       [s242] PAPI_LST_INS
3751733          [s242] PAPI_BR_INS
5313543507       [s242] PAPI_LD_INS
382432180        [s242] PAPI_SR_INS
16118419209      [s242] PAPI_TOT_CYC
9199662123       [s242] PAPI_RES_STL
159531554        [s242] PAPI_L1_DCM
59485            [s242] PAPI_L1_ICM
217              [s242] PAPI_TLB_DM
1987             [s242] PAPI_TLB_IM
536442523        [s242] PAPI_L2_DCM
54932            [s242] PAPI_L2_ICM
2207631          [s242] PAPI_STL_ICY
4375992190       [s242] PAPI_FUL_ICY
38368737         [s242] PAPI_BR_CN
39358            [s242] PAPI_BR_MSP
41150443         [s242] PAPI_L2_DCA
59485            [s242] PAPI_L2_ICA

19               [LABEL] s243
1                [s243] Measurements
53795702279      [s243] Real cycles
248387931380     [s243] PAPI_TOT_INS
79685306963      [s243] PAPI_LST_INS
223710814        [s243] PAPI_BR_INS
69610936543      [s243] PAPI_LD_INS
10074370420      [s243] PAPI_SR_INS
78482615613      [s243] PAPI_TOT_CYC
691483989        [s243] PAPI_RES_STL
999193735        [s243] PAPI_L1_DCM
467563           [s243] PAPI_L1_ICM
-208             [s243] PAPI_TLB_DM
73498            [s243] PAPI_TLB_IM
1799486741       [s243] PAPI_L2_DCM
464444           [s243] PAPI_L2_ICM
84112262         [s243] PAPI_STL_ICY
45312646929      [s243] PAPI_FUL_ICY
161465418        [s243] PAPI_BR_CN
