Loop 	Time(sec) 	Checksum
 s423	    14.283	2.736748
 s424	    14.997	822.364014
 s431	    37.274	1674287.625000
 s441	     8.048	196500.265625
 s451	     3.463	32007.896484
 s452	    17.734	32511.939453
 s453	    14.095	21.901442
 s471	     5.894	64004.925781
 s481	     6.180	196500.265625
 s491	     5.502	32001.640625
s4112	     4.675	1127128.875000
s4113	     5.276	32001.640625
s4114	     9.862	32000.000000
s4115	     6.350	1.038636
s4116	     5.079	0.753265
s4117	     5.316	32002.205078
s4121	     7.360	196500.265625
   va	    21.556	1.644725
  vag	     6.241	1.644725
  vas	     6.134	1.644725
  vif	     3.724	1.644725
  vpv	    33.706	1642244.625000
  vtv	    33.723	32000.000000
vpvtv	    18.590	689788.562500
vpvts	     3.552	175234766340096.000000
vpvpv	    18.579	1.644725
vtvtv	    18.525	32000.000000
vsumr	    63.358	10.950721
vdotr	    63.504	1.644725
 vbor	     3.038	31924.046875
