Loop 	Time(sec) 	Checksum
 s000	     5.084	512066944.000000
 s111	     4.323	32000.410156
s1111	    13.323	16005.822266
 s112	    10.915	84644.898438
s1112	     8.249	32001.640625
 s113	    10.290	32000.640625
s1113	     5.103	32001.640625
 s114	     5.547	919.869873
 s115	    28.415	31745.953125
s1115	     8.332	0.065485
 s116	    60.973	32000.000000
 s118	     5.954	84488.515625
 s119	     9.206	86343.289062
s1119	     9.158	119107.445312
 s121	    11.583	32009.023438
 s122	     6.372	196490.187500
 s123	     5.553	32003.283203
 s124	     6.554	32001.640625
 s125	     5.598	131072.000000
 s126	     1.078	66949.914062
 s127	     9.595	32003.283203
 s128	     8.888	80000.000000
 s131	    18.753	32009.023438
 s132	    16.733	65538.562500
 s141	     6.225	32454472.000000
 s151	    30.543	32009.023438
 s152	    11.620	152207.562500
 s162	     4.963	32009.023438
 s171	     4.752	196500.265625
 s172	     6.526	196500.265625
