Loop 	Time(sec) 	Checksum
 s000	     5.019	512066944.000000
 s111	     4.290	32000.410156
s1111	    15.037	16005.822266
 s112	    10.778	84644.898438
s1112	     8.136	32001.640625
 s113	    10.094	32000.640625
s1113	     5.013	32001.640625
 s114	     6.057	919.869873
 s115	    29.650	31745.953125
s1115	     8.592	0.065485
 s116	    67.079	32000.000000
 s118	     6.473	84488.515625
 s119	     9.278	86343.289062
s1119	     9.210	119107.445312
 s121	    11.464	32009.023438
 s122	     6.368	196490.187500
 s123	     6.332	32003.283203
 s124	     6.541	32001.640625
 s125	     5.582	131072.000000
 s126	     1.173	66949.914062
 s127	    10.486	32003.283203
 s128	     9.323	80000.000000
 s131	    18.675	32009.023438
 s132	    16.771	65538.562500
 s141	     6.508	32454472.000000
 s151	    30.579	32009.023438
 s152	    11.513	152207.562500
 s162	     4.960	32009.023438
 s171	     4.587	196500.265625
 s172	     6.496	196500.265625
