Loop 	Time(sec) 	Checksum
 s423	    14.270	2.736748
 s424	    14.949	822.364014
 s431	    37.238	1674287.625000
 s441	     8.237	196500.265625
 s451	     3.465	32007.896484
 s452	    17.711	32511.939453
 s453	    14.079	21.901442
 s471	     6.078	64004.925781
 s481	     6.178	196500.265625
 s491	     5.512	32001.640625
s4112	     4.587	1127128.875000
s4113	     5.188	32001.640625
s4114	     9.776	32000.000000
s4115	     6.349	1.038636
s4116	     5.097	0.753265
s4117	     5.314	32002.205078
s4121	     7.361	196500.265625
   va	    21.583	1.644725
  vag	     6.244	1.644725
  vas	     6.147	1.644725
  vif	     3.747	1.644725
  vpv	    33.710	1642244.625000
  vtv	    33.707	32000.000000
vpvtv	    18.599	689788.562500
vpvts	     3.554	175234766340096.000000
vpvpv	    18.615	1.644725
vtvtv	    18.525	32000.000000
vsumr	    63.422	10.950721
vdotr	    63.516	1.644725
 vbor	     3.037	31924.046875
