Loop 	Time(sec) 	Checksum
 s173	    18.699	32001.626953
 s174	    18.713	32001.626953
 s175	     6.388	32009.023438
 s176	     4.947	32063.902344
 s211	    10.886	63983.308594
 s212	     9.049	132018.859375
s1213	     7.709	132016.171875
 s221	     5.472	1543684096.000000
s1221	     3.385	630439296.000000
 s222	     7.246	32000.000000
 s231	     9.679	119107.445312
 s232	     3.721	65536.000000
s1232	     6.017	33956.261719
 s233	    21.128	504920.187500
s2233	    14.689	337652.718750
 s235	    20.861	160024.046875
 s241	    21.866	64000.000000
 s242	     3.525	1535966208.000000
 s243	    16.682	810659.437500
 s244	    15.075	70110.828125
s1244	    13.698	108527.601562
s2244	     7.218	70110.859375
 s251	    21.120	32004.367188
s1251	    35.989	400005.843750
s2251	     9.590	2.635389
s3251	    11.808	12.595580
 s252	     4.761	63999.000000
 s253	    11.303	3200845824.000000
 s254	    15.649	32000.000000
 s255	     4.628	31953.501953
