Loop 	Time(sec) 	Checksum
 s173	    18.622	32001.626953
 s174	    18.609	32001.626953
 s175	     6.366	32009.023438
 s176	     4.943	32063.902344
 s211	    10.389	63983.308594
 s212	     8.635	132018.859375
s1213	     7.416	132016.171875
 s221	     5.333	1543684096.000000
s1221	     3.396	630439296.000000
 s222	     7.357	32000.000000
 s231	     8.934	119107.445312
 s232	     3.709	65536.000000
s1232	     5.526	33956.261719
 s233	    19.638	504920.187500
s2233	    13.805	337652.718750
 s235	    19.358	160024.046875
 s241	    20.696	64000.000000
 s242	     3.520	1535966208.000000
 s243	    16.899	810659.437500
 s244	    14.449	70110.828125
s1244	    13.478	108527.601562
s2244	     6.699	70110.859375
 s251	    20.951	32004.367188
s1251	    34.644	400005.843750
s2251	     8.397	2.635389
s3251	    11.541	12.595580
 s252	     4.771	63999.000000
 s253	    11.279	3200845824.000000
 s254	    15.632	32000.000000
 s255	     4.633	31953.501953
