Loop 	Time(sec) 	Checksum
 s173	    18.727	32001.626953
 s174	    18.698	32001.626953
 s175	     6.384	32009.023438
 s176	     4.979	32063.902344
 s211	     9.807	63983.308594
 s212	     7.925	132018.859375
s1213	     7.177	132016.171875
 s221	     4.867	1543684096.000000
s1221	     3.427	630439296.000000
 s222	     6.480	32000.000000
 s231	     9.464	119107.445312
 s232	     3.703	65536.000000
s1232	     5.912	33956.261719
 s233	    21.109	504920.187500
s2233	    14.488	337652.718750
 s235	    20.647	160024.046875
 s241	    19.337	64000.000000
 s242	     3.521	1535966208.000000
 s243	    14.885	810659.437500
 s244	    12.898	70110.828125
s1244	    12.339	108527.601562
s2244	     6.717	70110.859375
 s251	    20.871	32004.367188
s1251	    32.373	400005.843750
s2251	     8.341	2.635389
s3251	    10.015	12.595580
 s252	     4.907	63999.000000
 s253	     9.841	3200845824.000000
 s254	    15.750	32000.000000
 s255	     4.744	31953.501953
