Loop 	Time(sec) 	Checksum
 s000	     5.052	512066944.000000
 s111	     4.299	32000.410156
s1111	    14.592	16005.822266
 s112	    10.840	84644.898438
s1112	     8.178	32001.640625
 s113	    10.175	32000.640625
s1113	     5.041	32001.640625
 s114	     5.802	919.869873
 s115	    28.621	31745.953125
s1115	     8.620	0.065485
 s116	    65.063	32000.000000
 s118	     5.935	84488.515625
 s119	     9.192	86343.289062
s1119	     9.142	119107.445312
 s121	    11.530	32009.023438
 s122	     6.365	196490.187500
 s123	     5.565	32003.283203
 s124	     6.553	32001.640625
 s125	     5.615	131072.000000
 s126	     1.163	66949.914062
 s127	     9.615	32003.283203
 s128	     9.107	80000.000000
 s131	    18.694	32009.023438
 s132	    16.682	65538.562500
 s141	     6.414	32454472.000000
 s151	    30.551	32009.023438
 s152	    11.580	152207.562500
 s162	     4.968	32009.023438
 s171	     4.830	196500.265625
 s172	     6.479	196500.265625
