Loop 	Time(sec) 	Checksum
 s423	    14.242	2.736748
 s424	    14.929	822.364014
 s431	    37.253	1674287.625000
 s441	     8.353	196500.265625
 s451	     3.463	32007.896484
 s452	    17.739	32511.939453
 s453	    14.093	21.901442
 s471	     6.188	64004.925781
 s481	     6.218	196500.265625
 s491	     5.532	32001.640625
s4112	     4.581	1127128.875000
s4113	     5.189	32001.640625
s4114	     9.480	32000.000000
s4115	     6.355	1.038636
s4116	     5.143	0.753265
s4117	     5.310	32002.205078
s4121	     7.364	196500.265625
   va	    21.604	1.644725
  vag	     6.189	1.644725
  vas	     6.142	1.644725
  vif	     3.728	1.644725
  vpv	    33.716	1642244.625000
  vtv	    33.709	32000.000000
vpvtv	    18.589	689788.562500
vpvts	     3.551	175234766340096.000000
vpvpv	    18.614	1.644725
vtvtv	    18.575	32000.000000
vsumr	    63.424	10.950721
vdotr	    63.532	1.644725
 vbor	     3.048	31924.046875
