Loop 	Time(sec) 	Checksum
 s423	    15.171	2.736748
 s424	    15.184	822.364014
 s431	    38.288	1674287.625000
 s441	     7.706	196500.265625
 s451	     3.319	32007.896484
 s452	    18.013	32511.939453
 s453	    14.076	21.901442
 s471	     5.358	64004.925781
 s481	     6.179	196500.265625
 s491	     5.547	32001.640625
s4112	     4.688	1127128.875000
s4113	     5.342	32001.640625
s4114	     8.988	32000.000000
s4115	     6.355	1.038636
s4116	     5.099	0.753265
s4117	     5.374	32002.205078
s4121	     7.550	196500.265625
   va	    23.232	1.644725
  vag	     6.603	1.644725
  vas	     6.598	1.644725
  vif	     3.823	1.644725
  vpv	    34.568	1642244.625000
  vtv	    34.591	32000.000000
vpvtv	    18.585	689788.562500
vpvts	     3.678	175234766340096.000000
vpvpv	    18.582	1.644725
vtvtv	    18.583	32000.000000
vsumr	    63.428	10.950721
vdotr	    63.453	1.644725
 vbor	     3.076	31924.046875
