Loop 	Time(sec) 	Checksum
 s423	    14.503	2.736748
 s424	    15.099	822.364014
 s431	    37.705	1674287.625000
 s441	     7.751	196500.265625
 s451	     3.313	32007.896484
 s452	    17.869	32511.939453
 s453	    14.114	21.901442
 s471	     5.359	64004.925781
 s481	     6.195	196500.265625
 s491	     5.517	32001.640625
s4112	     4.752	1127128.875000
s4113	     5.356	32001.640625
s4114	     9.217	32000.000000
s4115	     6.348	1.038636
s4116	     5.144	0.753265
s4117	     5.346	32002.205078
s4121	     7.461	196500.265625
   va	    22.362	1.644725
  vag	     6.469	1.644725
  vas	     6.336	1.644725
  vif	     3.769	1.644725
  vpv	    34.465	1642244.625000
  vtv	    34.148	32000.000000
vpvtv	    18.509	689788.562500
vpvts	     3.595	175234766340096.000000
vpvpv	    18.514	1.644725
vtvtv	    18.498	32000.000000
vsumr	    63.463	10.950721
vdotr	    63.497	1.644725
 vbor	     3.060	31924.046875
