papiex version                : 1.0.3
papiex build                  : Aug 30 2019/14:43:52
Executable                    : /home/chermen/PycharmProjects/unrolling/TSVC/Measurements/a_10_2.out
Arguments                     : 
Processor                     : Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
Clockrate (MHz)               : 4600.000000
Hostname                      : sienne
Options                       : MULTIPLEX,MEMORY,PAPI_TOT_INS,PAPI_LST_INS,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_STL_ICY,PAPI_FUL_ICY,PAPI_BR_CN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_ICA,NO_MPI_PROF,NO_IO_PROF,NO_THREADSYNC_PROF,NEXTGEN
Domain                        : User
Process id                    : 8119
Session id                    : 26828
Parent process id             : 8118
Num. of threads               : 1
Start                         : Thu Nov 14 22:41:07 2019
Finish                        : Thu Nov 14 22:48:27 2019
7744             [PROCESS] Memory resident max KB
340              [PROCESS] Memory text (at exit) KB
6152             [PROCESS] Memory library (at exit) KB
3536             [PROCESS] Memory heap (at exit) KB
456              [PROCESS] Memory stack (at exit) KB
4172             [PROCESS] Memory shared (at exit) KB
0                [PROCESS] Memory locked (at exit) KB
439671652        [PROCESS] Wallclock usecs
439671138        Real usecs
1403440784238    Real cycles
439668985        Virtual usecs
2022477321800    Virtual cycles
5333713592694    PAPI_TOT_INS
1913553615752    PAPI_LST_INS
162806016814     PAPI_BR_INS
1596354569625    PAPI_LD_INS
317199046127     PAPI_SR_INS
1991750448552    PAPI_TOT_CYC
559360704498     PAPI_RES_STL
42298063596      PAPI_L1_DCM
3931204          PAPI_L1_ICM
218005           PAPI_TLB_DM
580378           PAPI_TLB_IM
74541445758      PAPI_L2_DCM
2552089          PAPI_L2_ICM
566116808        PAPI_STL_ICY
879830831026     PAPI_FUL_ICY
146652340750     PAPI_BR_CN
13749806         PAPI_BR_MSP
16831307980      PAPI_L2_DCA
3931204          PAPI_L2_ICA

1                [LABEL] s256
1                [s256] Measurements
3593912996       [s256] Real cycles
12319532405      [s256] PAPI_TOT_INS
3951903290       [s256] PAPI_LST_INS
36655407         [s256] PAPI_BR_INS
3405981514       [s256] PAPI_LD_INS
545921776        [s256] PAPI_SR_INS
5083528729       [s256] PAPI_TOT_CYC
1687674700       [s256] PAPI_RES_STL
539986067        [s256] PAPI_L1_DCM
17080            [s256] PAPI_L1_ICM
9                [s256] PAPI_TLB_DM
60               [s256] PAPI_TLB_IM
1656576103       [s256] PAPI_L2_DCM
19557            [s256] PAPI_L2_ICM
